Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
cntWoodWritableCrateLarge,blocks,block,,,"Wood Storage Crate [ddcdfa](120)",,"Holz-Aufbewahrungskiste [ddcdfa](120)","Embalaje de almacenamiento de madera [ddcdfa](120)","Caisse de rangement en bois [ddcdfa](120)","Cassa di stoccaggio di legno [ddcdfa](120)","木製ストレージ [ddcdfa](120)","목재 보관함 [ddcdfa](120)","Skrzynia na towary – drewniana [ddcdfa](120)","Caixote de deposito de madeira [ddcdfa](120)","Деревянный складской ящик [ddcdfa](120)","Tahta Depolama Sandığı [ddcdfa](120)","木储藏箱 [ddcdfa](120)","木儲藏箱 [ddcdfa](120)"
cntWoodWritableCrateInsecureLarge,blocks,block,,,"Wood Storage Crate Insecure [ddcdfa](120)",,"Holz-Aufbewahrungskiste, unsicher [ddcdfa](120)","Embalaje de almacenamiento de madera no asegurado [ddcdfa](120)","Caisse de rangement en bois non sécurisée [ddcdfa](120)","Cassa di stoccaggio di legno pericolante [ddcdfa](120)","木製ストレージ　鍵無し [ddcdfa](120)","목재 보관함 잠기지 않음 [ddcdfa](120)","Skrzynia na towary – drewniana, niezabezpieczona [ddcdfa](120)","Caixote inseguro de deposito de madeira [ddcdfa](120)","Ненадежный деревянный складской ящик [ddcdfa](120)","Tahta Depolama Sandığı, Korumasız [ddcdfa](120)","不结实的木储藏箱 [ddcdfa](120)","不安全的木儲藏箱 [ddcdfa](120)"
cntIronWritableCrateLarge,blocks,block,,,"Iron Storage Crate [ddcdfa](144)",,"Eisen-Aufbewahrungskiste [ddcdfa](144)","Embalaje de almacenamiento de hierro [ddcdfa](144)","Caisse de rangement en fer [ddcdfa](144)","Cassa di stoccaggio di ferro [ddcdfa](144)","鉄製ストレージ [ddcdfa](144)","철제 보관함 [ddcdfa](144)","Skrzynia na towary – żelazna [ddcdfa](144)","Caixote de deposito de ferro [ddcdfa](144)","Железный складской ящик [ddcdfa](144)","Demir Depolama Sandığı [ddcdfa](144)","铁储藏箱 [ddcdfa](144)","鐵儲藏箱 [ddcdfa](144)"
cntIronWritableCrateInsecureLarge,blocks,block,,,"Iron Storage Crate Insecure [ddcdfa](144)",,"Eisen-Aufbewahrungskiste, unsicher [ddcdfa](144)","Embalaje de almacenamiento de hierro no asegurado [ddcdfa](144)","Caisse de rangement en fer non sécurisée [ddcdfa](144)","Cassa di stoccaggio di ferro pericolante [ddcdfa](144)","鉄製ストレージ　鍵無し [ddcdfa](144)","철제 보관함 잠기지 않음 [ddcdfa](144)","Skrzynia na towary – żelazna, niezabezpieczona [ddcdfa](144)","Caixote inseguro de deposito de ferro [ddcdfa](144)","Ненадежный железный складской ящик [ddcdfa](144)","Demir Depolama Sandığı, Korumasız [ddcdfa](144)","不结实的铁储藏箱 [ddcdfa](144)","不安全的鐵儲藏箱 [ddcdfa](144)"
cntSteelWritableCrateLarge,blocks,block,,,"Steel Storage Crate [ddcdfa](168)",,"Stahl-Aufbewahrungskiste [ddcdfa](168)","Embalaje de almacenamiento de acero [ddcdfa](168)","Caisse de rangement en acier [ddcdfa](168)","Cassa di stoccaggio d'acciaio [ddcdfa](168)","鉄鋼製ストレージ [ddcdfa](168)","강철 보관함 [ddcdfa](168)","Skrzynia na towary – stalowa [ddcdfa](168)","Caixote de deposito de aço [ddcdfa](168)","Стальной складской ящик [ddcdfa](168)","Çelik Depolama Sandığı [ddcdfa](168)","钢储藏箱 [ddcdfa](168)","鋼儲藏箱 [ddcdfa](168)"
cntSteelWritableCrateInsecureLarge,blocks,block,,,"Steel Storage Crate Insecure [ddcdfa](168)",,"Stahl-Aufbewahrungskiste, unsicher [ddcdfa](168)","Embalaje de almacenamiento de acero no asegurado [ddcdfa](168)","Caisse de rangement en acier non sécurisée [ddcdfa](168)","Cassa di stoccaggio d'acciaio pericolante [ddcdfa](168)","鉄鋼製ストレージ（鍵無し） [ddcdfa](168)","강철 보관함 잠기지 않음 [ddcdfa](168)","Skrzynia na towary – żelazna, niezabezpieczona [ddcdfa](168)","Caixote inseguro de deposito de aço [ddcdfa](168)","Ненадежный стальной складской ящик [ddcdfa](168)","Çelik Depolama Sandığı, Korumasız [ddcdfa](168)","不结实的钢储藏箱 [ddcdfa](168)","不安全的鋼儲藏箱 [ddcdfa](168)"
cntWoodCube,blocks,block,,,"Wood Storage Crate  [ddcdfa](120) - Cube",n/a  [ddcdfa](120) - n/a,"Holz-Aufbewahrungskiste  [ddcdfa](120) - Würfel","Embalaje de almacenamiento de madera  [ddcdfa](120) - Cubo","Caisse de rangement en bois  [ddcdfa](120) - Cube","Cassa di stoccaggio di legno  [ddcdfa](120) - Cubo","木製ストレージ  [ddcdfa](120) - キューブ","목재 보관함  [ddcdfa](120) - 육면체","Skrzynia na towary – drewniana  [ddcdfa](120) - Sześcian","Caixote de deposito de madeira  [ddcdfa](120) - Cubo","Деревянный складской ящик  [ddcdfa](120) - Куб","Tahta Depolama Sandığı  [ddcdfa](120) - Küp","木储藏箱  [ddcdfa](120) - 方块","木儲藏箱  [ddcdfa](120) - 方塊"
cntWoodHalf,blocks,block,,,"Wood Storage Crate  [ddcdfa](120) - Cube Half",n/a  [ddcdfa](120) - ,"Holz-Aufbewahrungskiste  [ddcdfa](120) - 1/2-Würfel","Embalaje de almacenamiento de madera  [ddcdfa](120) - 1/2 cubo","Caisse de rangement en bois  [ddcdfa](120) - 1/2 cube","Cassa di stoccaggio di legno  [ddcdfa](120) - 1/2 cubo","木製ストレージ  [ddcdfa](120) - キューブ1/2","목재 보관함  [ddcdfa](120) - 육면체 1/2","Skrzynia na towary – drewniana  [ddcdfa](120) - Sześcian 1/2","Caixote de deposito de madeira  [ddcdfa](120) - 1/2 cubo","Деревянный складской ящик  [ddcdfa](120) - Куб 1/2","Tahta Depolama Sandığı  [ddcdfa](120) - Küp 1/2","木储藏箱  [ddcdfa](120) - 方块 1/2","木儲藏箱  [ddcdfa](120) - 1/2 方塊"
cntWoodBevel,blocks,block,,,"Wood Storage Crate  [ddcdfa](120) - Cupboard Corner",n/a  [ddcdfa](120) - n/a,"Holz-Aufbewahrungskiste  [ddcdfa](120) - Schrank – Ecke","Embalaje de almacenamiento de madera  [ddcdfa](120) - Esquina de despensa","Caisse de rangement en bois  [ddcdfa](120) - Coin de placard","Cassa di stoccaggio di legno  [ddcdfa](120) - Credenza angolare","木製ストレージ  [ddcdfa](120) - カップボード（コーナー）","목재 보관함  [ddcdfa](120) - 찬장 모서리","Skrzynia na towary – drewniana  [ddcdfa](120) - Kredens – róg","Caixote de deposito de madeira  [ddcdfa](120) - Canto de guarda-louça","Деревянный складской ящик  [ddcdfa](120) - Угловой буфет","Tahta Depolama Sandığı  [ddcdfa](120) - Büfe Köşe","木储藏箱  [ddcdfa](120) - 碗柜 拐角","木儲藏箱  [ddcdfa](120) - 碗櫥轉角"
cntWoodBuffet,blocks,block,,,"Wood Storage Crate  [ddcdfa](120) - Buffet Counter",n/a  [ddcdfa](120) - n/a,"Holz-Aufbewahrungskiste  [ddcdfa](120) - Buffet-Theke","Embalaje de almacenamiento de madera  [ddcdfa](120) - Mostrador de bufet","Caisse de rangement en bois  [ddcdfa](120) - Comptoir de buffet","Cassa di stoccaggio di legno  [ddcdfa](120) - Banco del buffet","木製ストレージ  [ddcdfa](120) - ブッフェ（カウンター）","목재 보관함  [ddcdfa](120) - 뷔페 카운터","Skrzynia na towary – drewniana  [ddcdfa](120) - Lada bufetowa","Caixote de deposito de madeira  [ddcdfa](120) - Balcão de bufê","Деревянный складской ящик  [ddcdfa](120) - Стойка буфета","Tahta Depolama Sandığı  [ddcdfa](120) - Açık Büfe Tezgâhı","木储藏箱  [ddcdfa](120) - 自助餐柜台","木儲藏箱  [ddcdfa](120) - 自助餐櫃檯"
cntWoodSinkRound,blocks,block,,,"Wood Storage Crate  [ddcdfa](120) - Counter Sink Hole Round",n/a  [ddcdfa](120) - n/a,"Holz-Aufbewahrungskiste  [ddcdfa](120) - Eingelassenes Waschbecken – rundes Loch","Embalaje de almacenamiento de madera  [ddcdfa](120) - Fregadero de encimera con hoyo redondo","Caisse de rangement en bois  [ddcdfa](120) - Évier de comptoir, trou rond","Cassa di stoccaggio di legno  [ddcdfa](120) - Lavandino con bancone arrotondato con foro","木製ストレージ  [ddcdfa](120) - カウンター（シンク・穴・丸型）","목재 보관함  [ddcdfa](120) - 카운터 싱크대 구멍 원형","Skrzynia na towary – drewniana  [ddcdfa](120) - Lada – zlew, dziura, okrągła","Caixote de deposito de madeira  [ddcdfa](120) - Buraco de pia de balcão redondo","Деревянный складской ящик  [ddcdfa](120) - Основание для мойки с круглым отверстием","Tahta Depolama Sandığı  [ddcdfa](120) - Tezgah Eviye Deliği Yuvarlak","木储藏箱  [ddcdfa](120) - 柜台 水槽 有洞 圆弧","木儲藏箱  [ddcdfa](120) - 櫃檯盥洗盆圓孔"
cntWoodHollowTop,blocks,block,,,"Wood Storage Crate  [ddcdfa](120) - Counter Hollow Top",n/a  [ddcdfa](120) - n/a,"Holz-Aufbewahrungskiste  [ddcdfa](120) - Theke – hohl, oben","Embalaje de almacenamiento de madera  [ddcdfa](120) - Parte superior de encimera hueca","Caisse de rangement en bois  [ddcdfa](120) - Comptoir creux, haut","Cassa di stoccaggio di legno  [ddcdfa](120) - Parte superiore vuota del banco","木製ストレージ  [ddcdfa](120) - カウンター（中空・上部）","목재 보관함  [ddcdfa](120) - 카운터 비어있음 상단","Skrzynia na towary – drewniana  [ddcdfa](120) - Lada – pusta, góra","Caixote de deposito de madeira  [ddcdfa](120) - Topo oco de balcão","Деревянный складской ящик  [ddcdfa](120) - Верх пустой стойки","Tahta Depolama Sandığı  [ddcdfa](120) - Tezgâh Oyuk Üst","木储藏箱  [ddcdfa](120) - 柜台 中空 顶部","木儲藏箱  [ddcdfa](120) - 櫃檯空心頂部"
cntWoodBevelBookCase,blocks,block,,,"Wood Storage Crate  [ddcdfa](120) - Cube Corner Beveled Bookcase Full",n/a  [ddcdfa](120) - n/a,"Holz-Aufbewahrungskiste  [ddcdfa](120) - Würfel – Ecke, abgeschrägt, Bücherregal – voll","Embalaje de almacenamiento de madera  [ddcdfa](120) - Esquina de cubo biselado de estantería llena","Caisse de rangement en bois  [ddcdfa](120) - Angle de cube, biseauté, bibliothèque pleine","Cassa di stoccaggio di legno  [ddcdfa](120) - Angolo del cubo smussato con libreria piena","木製ストレージ  [ddcdfa](120) - キューブ（コーナー・斜角・ブックケース・満タン）","목재 보관함  [ddcdfa](120) - 육면체 모서리 경사 책장 꽉 참","Skrzynia na towary – drewniana  [ddcdfa](120) - Sześcian – róg, faseta, regał na książki, pełny","Caixote de deposito de madeira  [ddcdfa](120) - Estante de livros cheia biselada de cubo de canto","Деревянный складской ящик  [ddcdfa](120) - Куб с полным книжным шкафом, срезанный угол","Tahta Depolama Sandığı  [ddcdfa](120) - Küp Köşe Pahlı Kitaplık, Dolu","木储藏箱  [ddcdfa](120) - 方块 拐角 斜角 书架 完整","木儲藏箱  [ddcdfa](120) - 完整方塊角斜面書櫃"
cntWoodBookCase,blocks,block,,,"Wood Storage Crate  [ddcdfa](120) - Bookcase Full",n/a  [ddcdfa](120) - n/a,"Holz-Aufbewahrungskiste  [ddcdfa](120) - Bücherregal – voll","Embalaje de almacenamiento de madera  [ddcdfa](120) - Estantería llena","Caisse de rangement en bois  [ddcdfa](120) - Bibliothèque pleine","Cassa di stoccaggio di legno  [ddcdfa](120) - Libreria piena","木製ストレージ  [ddcdfa](120) - ブックケース（満タン）","목재 보관함  [ddcdfa](120) - 책장 꽉참","Skrzynia na towary – drewniana  [ddcdfa](120) - Regał na książki – pełny","Caixote de deposito de madeira  [ddcdfa](120) - Estante de livros cheia","Деревянный складской ящик  [ddcdfa](120) - Полный книжный шкаф","Tahta Depolama Sandığı  [ddcdfa](120) - Kitaplık Dolu","木储藏箱  [ddcdfa](120) - 书架 完整","木儲藏箱  [ddcdfa](120) - 滿書櫃"
cntWoodMorticianDrawer,blocks,block,,,"Wood Storage Crate  [ddcdfa](120) - Mortician Drawer",n/a  [ddcdfa](120) - n/a,"Holz-Aufbewahrungskiste  [ddcdfa](120) - Leichenbestatter-Schublade","Embalaje de almacenamiento de madera  [ddcdfa](120) - Cajón del funerario","Caisse de rangement en bois  [ddcdfa](120) - Tiroir croque-mort","Cassa di stoccaggio di legno  [ddcdfa](120) - Cassetto del becchino","木製ストレージ  [ddcdfa](120) - 葬儀屋の引き出し","목재 보관함  [ddcdfa](120) - 장의사용 서랍","Skrzynia na towary – drewniana  [ddcdfa](120) - Szuflada kostnicy","Caixote de deposito de madeira  [ddcdfa](120) - Gaveta de agente funerário","Деревянный складской ящик  [ddcdfa](120) - Ящик гробовщика","Tahta Depolama Sandığı  [ddcdfa](120) - Morg Çekmecesi","木储藏箱  [ddcdfa](120) - 殡葬业者抽屉","木儲藏箱  [ddcdfa](120) - 送葬者抽屜"
cntIronCube,blocks,block,,,"Iron Storage Crate  [ddcdfa](144) - Cube",n/a  [ddcdfa](144) - n/a,"Eisen-Aufbewahrungskiste  [ddcdfa](144) - Würfel","Embalaje de almacenamiento de hierro  [ddcdfa](144) - Cubo","Caisse de rangement en fer  [ddcdfa](144) - Cube","Cassa di stoccaggio di ferro  [ddcdfa](144) - Cubo","鉄製ストレージ  [ddcdfa](144) - キューブ","철제 보관함  [ddcdfa](144) - 육면체","Skrzynia na towary – żelazna  [ddcdfa](144) - Sześcian","Caixote de deposito de ferro  [ddcdfa](144) - Cubo","Железный складской ящик  [ddcdfa](144) - Куб","Demir Depolama Sandığı  [ddcdfa](144) - Küp","铁储藏箱  [ddcdfa](144) - 方块","鐵儲藏箱  [ddcdfa](144) - 方塊"
cntIronHalf,blocks,block,,,"Iron Storage Crate  [ddcdfa](144) - Cube Half",n/a  [ddcdfa](144) - ,"Eisen-Aufbewahrungskiste  [ddcdfa](144) - 1/2-Würfel","Embalaje de almacenamiento de hierro  [ddcdfa](144) - 1/2 cubo","Caisse de rangement en fer  [ddcdfa](144) - 1/2 cube","Cassa di stoccaggio di ferro  [ddcdfa](144) - 1/2 cubo","鉄製ストレージ  [ddcdfa](144) - キューブ1/2","철제 보관함  [ddcdfa](144) - 육면체 1/2","Skrzynia na towary – żelazna  [ddcdfa](144) - Sześcian 1/2","Caixote de deposito de ferro  [ddcdfa](144) - 1/2 cubo","Железный складской ящик  [ddcdfa](144) - Куб 1/2","Demir Depolama Sandığı  [ddcdfa](144) - Küp 1/2","铁储藏箱  [ddcdfa](144) - 方块 1/2","鐵儲藏箱  [ddcdfa](144) - 1/2 方塊"
cntIronBevel,blocks,block,,,"Iron Storage Crate  [ddcdfa](144) - Cupboard Corner",n/a  [ddcdfa](144) - n/a,"Eisen-Aufbewahrungskiste  [ddcdfa](144) - Schrank – Ecke","Embalaje de almacenamiento de hierro  [ddcdfa](144) - Esquina de despensa","Caisse de rangement en fer  [ddcdfa](144) - Coin de placard","Cassa di stoccaggio di ferro  [ddcdfa](144) - Credenza angolare","鉄製ストレージ  [ddcdfa](144) - カップボード（コーナー）","철제 보관함  [ddcdfa](144) - 찬장 모서리","Skrzynia na towary – żelazna  [ddcdfa](144) - Kredens – róg","Caixote de deposito de ferro  [ddcdfa](144) - Canto de guarda-louça","Железный складской ящик  [ddcdfa](144) - Угловой буфет","Demir Depolama Sandığı  [ddcdfa](144) - Büfe Köşe","铁储藏箱  [ddcdfa](144) - 碗柜 拐角","鐵儲藏箱  [ddcdfa](144) - 碗櫥轉角"
cntIronBuffet,blocks,block,,,"Iron Storage Crate  [ddcdfa](144) - Buffet Counter",n/a  [ddcdfa](144) - n/a,"Eisen-Aufbewahrungskiste  [ddcdfa](144) - Buffet-Theke","Embalaje de almacenamiento de hierro  [ddcdfa](144) - Mostrador de bufet","Caisse de rangement en fer  [ddcdfa](144) - Comptoir de buffet","Cassa di stoccaggio di ferro  [ddcdfa](144) - Banco del buffet","鉄製ストレージ  [ddcdfa](144) - ブッフェ（カウンター）","철제 보관함  [ddcdfa](144) - 뷔페 카운터","Skrzynia na towary – żelazna  [ddcdfa](144) - Lada bufetowa","Caixote de deposito de ferro  [ddcdfa](144) - Balcão de bufê","Железный складской ящик  [ddcdfa](144) - Стойка буфета","Demir Depolama Sandığı  [ddcdfa](144) - Açık Büfe Tezgâhı","铁储藏箱  [ddcdfa](144) - 自助餐柜台","鐵儲藏箱  [ddcdfa](144) - 自助餐櫃檯"
